Annee_Modele,Kilometrage,Marque,Modele,Puissance_fiscale,Type,TypeDeCarburant,prix
2008,140 000 - 149 999,Renault,Kangoo,6 CV,ain_kadous,Diesel,"(68000.0,)"
2014,110 000 - 119 999,Fiat,Doblo,5 CV,"Voitures, Offre",Diesel,"(79000.0,)"
2014,120 000 - 129 999,Toyota,Avensis,8 CV,oulfa,Diesel,"(135000.0,)"
2013,190 000 - 199 999,Mercedes-Benz,Classe C,8 CV,hay_izdihar,Diesel,"(nan,)"
2015,110 000 - 119 999,Dacia,Dokker,"Voitures, Offre","
",Diesel,"(92000.0,)"
2007,140 000 - 149 999,Kia,Picanto,centre_ville,"Voitures, Offre",Essence,"(48000.0,)"
2015,70 000 - 74 999,Renault,Clio,6 CV,centre,Diesel,"(110000.0,)"
1995,400 000 - 449 999,Mercedes-Benz,Classe C,10 CV,centre,Diesel,"(57000.0,)"
2009,200 000 - 249 999,Renault,19,"Voitures, Offre","
",Diesel,"(55000.0,)"
bourgogne,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(189.0,)"
2000,150 000 - 159 999,Fiat,Punto,la_siesta,"Voitures, Offre",Essence,"(50000.0,)"
centre,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(nan,)"
2012,160 000 - 169 999,Volkswagen,GOLF 6,6 CV,hassan,Diesel,"(160000.0,)"
2014,100 000 - 109 999,Ford,Kuga,8 CV,oulfa,Diesel,"(209000.0,)"
2003,180 000 - 189 999,Volkswagen,GOLF 4,founty,"Voitures, Offre",Diesel,"(65000.0,)"
2007,200 000 - 249 999,Hyundai,Santa Fe,guich_oudaya,"Voitures, Offre",Diesel,"(nan,)"
centre,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(nan,)"
2014,120 000 - 129 999,Fiat,Doblo,"Voitures, Offre","
",Diesel,"(77000.0,)"
centre,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(nan,)"
2007,200 000 - 249 999,Hyundai,Santa Fe,9 CV,"Voitures, Offre",Diesel,"(85000.0,)"
2014,140 000 - 149 999,Porsche,Cayenne,12 CV,hay_el_fath,Diesel,"(nan,)"
2018,15 000 - 19 999,Opel,other,6 CV,hay_hassani,Diesel,"(nan,)"
centre,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(nan,)"
2012,140 000 - 149 999,Volkswagen,PASSAT CC,8 CV,"Voitures, Offre",Diesel,"(205000.0,)"
1994,30 000 - 34 999,Fiat,TIPO,7 CV,"Voitures, Offre",Diesel,"(28000.0,)"
2003,0 - 4 999,Mercedes-Benz,220,10 CV,centre_ville,Diesel,"(99000.0,)"
2018,20 000 - 24 999,Mercedes-Benz,Classe CLS,12 CV,belvedere,Diesel,"(nan,)"
3,"82 m²
","Locations de vacances, Offre de location","
","
Sauvegarder l'annonce
","
",la_belle_vue,"(300.0,)"
centre,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(nan,)"
centre,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(nan,)"
2006,190 000 - 199 999,Peugeot,407,11 CV,"Voitures, Offre",Essence,"(30000.0,)"
2009,200 000 - 249 999,Volkswagen,GOLF 6,8 CV,"Voitures, Offre",Diesel,"(120000.0,)"
2014,80 000 - 84 999,Peugeot,Bipper,6 CV,ain_chock,Diesel,"(62000.0,)"
2003,5 000 - 9 999,Citroen,Berlingo,7 CV,"Voitures, Offre",Diesel,"(67000.0,)"
