Annee_Modele,Kilometrage,Marque,Modele,Puissance_fiscale,Type,TypeDeCarburant,prix
2015,110 000 - 119 999,Volkswagen,Caddy,8 CV,toute_la_ville,Diesel,"(['210000', '210', '000', '210000', '210', '000'],)"
2007,190 000 - 199 999,Kia,Carens,8 CV,ain_chock,Diesel,"(['62000', '62', '000', '62000', '62', '000'],)"
2014,130 000 - 139 999,Opel,Astra,7 CV,laimoune,Diesel,"(['128000', '128', '000', '128000', '128', '000'],)"
2007,200 000 - 249 999,Peugeot,Partner,toute_la_ville,"Voitures, Offre",Diesel,"(['65000', '65', '000'],)"
2012,130 000 - 139 999,Jaguar,XF,12 CV,yacoub_el_mansour,Diesel,"(['220000', '220', '000', '220000', '220', '000'],)"
2005,0 - 4 999,Volkswagen,Polo,8 CV,agadir_oufella,Diesel,"([],)"
2013,120 000 - 129 999,Volkswagen,Touareg,13 CV,oulfa,Diesel,"(['210000', '210', '000', '210000', '210', '000'],)"
2009,170 000 - 179 999,Volkswagen,Tiguan,8 CV,autre_secteur,Diesel,"(['145000', '145', '000', '145000', '145', '000'],)"
2013,100 000 - 109 999,Land Rover,Range Rover Sport,12 CV,maarif,Diesel,"([],)"
2015,35 000 - 39 999,Dacia,Duster,agdal,"Voitures, Offre",Diesel,"(['134000', '134', '000', '134000', '134', '000'],)"
2004,0 - 4 999,Renault,Kangoo,6 CV,"Voitures, Offre",Diesel,"(['63000', '63', '000', '63000', '63', '000'],)"
2,"1 m²
","Appartements, Offre","
","
Sauvegarder l'annonce
","
",riad_oulad_mtaa,"([],)"
2016,85 000 - 89 999,Fiat,Punto,5 CV,ain_sebaa,Diesel,"(['88000', '88', '000', '88000', '88', '000'],)"
2002,170 000 - 179 999,Mercedes-Benz,220,centre_ville,"Voitures, Offre",Diesel,"(['95000', '95', '000', '95000', '95', '000'],)"
2011,120 000 - 129 999,Renault,Megane,6 CV,autre_secteur,Diesel,"(['110000', '110', '000', '110000', '110', '000'],)"
agdal,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(['800', '800', '800', '800'],)"
2007,170 000 - 179 999,Mitsubishi,pajero sport,12 CV,sidi_maarouf,Diesel,"(['98000', '98', '000', '98000', '98', '000'],)"
2013,100 000 - 109 999,Isuzu,D-MAX,"Voitures, Offre","
",Diesel,"([],)"
